"SAMPLE","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"A.A.D.1B","596","596","0","596","9.16","4.92","0.98","49.3","86.72"
"A.A.D.2B","665","665","0","665","7.55","5.01","0.98","53.41","92.37"
"A.A.D.3B","507","507","0","507","8.08","5","0.98","56.94","76.95"
"A.A.D.4B","426","426","0","426","7.82","4.69","0.97","36.91","63.59"
"A.A.D.5B","656","656","0","656","7.81","5.03","0.98","44.58","93.47"
"A.A.W.1B","435","435","0","435","8.31","4.89","0.98","57.15","69.47"
"A.A.W.2B","490","490","0.12","490.14","8.33","5.06","0.99","69.81","76.25"
"A.A.W.3B","509","509","0","509","9.43","5.23","0.99","83.36","81.13"
"A.A.W.4B","364","364","0","364","8.04","4.77","0.98","51.53","58.75"
"A.A.W.5B","326","326","0","326","7.56","4.69","0.97","38.44","53.97"
"A.D.1B","836","836","0","836","12.4","6.15","1","212.35","162.98"
"A.D.2B","636","636","0.12","636.14","11.39","5.98","1","210.78","131.06"
"A.D.3B","638","638","0.08","638.15","11.52","5.99","1","223.88","134.02"
"A.D.4B","695","695","0","695","11.46","6.08","1","244.27","142.47"
"A.D.5B","674","674","0.05","674.14","11.87","5.98","1","202.74","137.21"
"A.I.1B","581","581","0","581","10.91","5.88","0.99","170.58","119.87"
"A.I.2B","685","685","0.06","685.15","12.2","5.95","0.99","191.92","140.44"
"A.I.3B","800","800","0","800","12.12","6.18","1","245.78","162.2"
"A.I.4B","650","650","0","650","11.58","5.94","1","201.26","132.93"
"A.W.1B","1021","1021","0","1021","13.2","6.01","0.99","134.56","187.74"
"A.W.2B","1082","1082","0","1082","14.27","6.26","1","239.02","203.79"
"A.W.3B","1001","1001","0","1001","13.29","5.88","0.99","102.24","181.7"
"A.W.4B","1360","1360","0","1360","14.31","6.41","1","228.47","247.95"
"A.W.5B","1473","1473","0","1473","15.4","6.49","1","242.93","266.4"
"O.A.D.1B","413","413","0","413","8.96","5.25","0.99","82.01","75.55"
"O.A.D.2B","469","469","0","469","9.69","5.28","0.99","86.76","81.71"
"O.A.D.3B","311","311","0","311","7.92","4.95","0.98","66","56.1"
"O.A.D.4B","399","399","0","399","8.35","5.31","0.99","108.33","71.36"
"O.A.D.5B","351","351","0","351","8.58","5.09","0.99","66.75","65.06"
"O.A.W.1B","398","398","0","398","8.53","4.9","0.98","41.32","70.27"
"O.A.W.2B","688","688","0","688","10.72","5.55","0.99","99.46","115.63"
"O.A.W.3B","542","542","0.1","542.15","9.54","5.11","0.98","47.68","90.55"
"O.A.W.4B","598","598","0","598","10.09","5.11","0.98","40.89","96.26"
"O.A.W.5B","557","557","0.08","557.15","10.02","5.15","0.98","47.58","94.33"
"O.D.1B","705","705","0","705","12.75","5.81","0.99","132.25","144.65"
"O.D.2B","690","690","0","690","12.56","6.03","1","224.13","147.3"
"O.D.3B","609","609","0","609","11.89","5.94","1","231.35","132.05"
"O.D.4B","919","919","0","919","13.7","6.34","1","331.56","188.35"
"O.D.5B","947","947","0","947","13.85","5.96","0.99","128.89","180.32"
"O.I.1B","691","691","0","691","12.23","6.05","1","235.26","144.79"
"O.I.2B","844","844","0","844","12.9","6.2","1","257.05","172.46"
"O.I.3B","925","925","0","925","13.66","6.28","1","275.16","189.86"
"O.I.4B","833","833","0","833","12.97","6.19","1","258.05","169.45"
"O.W.1B","894","894","0","894","13.76","6.05","0.99","177.33","174.89"
"O.W.2B","1262","1262","0","1262","15.52","6.35","1","200.82","240.76"
"O.W.3B","1342","1342","0","1342","15.68","6.22","0.99","143.52","243.29"
"O.W.4B","1293","1293","0.06","1293.14","14.04","6.07","0.99","105.1","223.38"
"O.W.5B","1319","1319","0.06","1319.14","14.44","5.72","0.98","54.54","223.46"
