"SAMPLE","A-A-D-1B","A-A-D-2B","A-A-D-3B","A-A-D-4B","A-A-D-5B","A-A-W-1B","A-A-W-2B","A-A-W-3B","A-A-W-4B","A-A-W-5B","A-D-1B","A-D-2B","A-D-3B","A-D-4B","A-D-5B","A-I-1B","A-I-2B","A-I-3B","A-I-4B","A-W-1B","A-W-2B","A-W-3B","A-W-4B","A-W-5B","O-A-D-1B","O-A-D-2B","O-A-D-3B","O-A-D-4B","O-A-D-5B","O-A-W-1B","O-A-W-2B","O-A-W-3B","O-A-W-4B","O-A-W-5B","O-D-1B","O-D-2B","O-D-3B","O-D-4B","O-D-5B","O-I-1B","O-I-2B","O-I-3B","O-I-4B","O-W-1B","O-W-2B","O-W-3B","O-W-4B","O-W-5B"
"A-A-D-1B","0","0.23","0.37","0.35","0.33","0.51","0.56","0.57","0.64","0.73","0.96","0.97","0.97","0.97","0.96","0.98","0.92","0.97","0.93","0.88","0.88","0.88","0.89","0.88","0.78","0.72","0.83","0.78","0.83","0.81","0.75","0.79","0.72","0.76","0.94","0.97","0.97","0.94","0.91","0.99","0.98","0.98","0.98","0.91","0.91","0.88","0.88","0.87"
"A-A-D-2B","0.23","0","0.5","0.49","0.34","0.62","0.65","0.67","0.73","0.79","0.96","0.97","0.97","0.97","0.97","0.98","0.94","0.97","0.94","0.88","0.89","0.89","0.9","0.88","0.84","0.78","0.87","0.83","0.87","0.85","0.77","0.83","0.76","0.8","0.95","0.98","0.97","0.95","0.92","0.99","0.99","0.98","0.99","0.93","0.91","0.89","0.88","0.87"
"A-A-D-3B","0.37","0.5","0","0.28","0.41","0.4","0.51","0.46","0.56","0.65","0.95","0.96","0.96","0.96","0.95","0.97","0.91","0.96","0.91","0.87","0.87","0.87","0.89","0.87","0.73","0.67","0.78","0.72","0.77","0.79","0.73","0.77","0.71","0.73","0.93","0.97","0.96","0.93","0.91","0.99","0.98","0.98","0.98","0.91","0.91","0.89","0.89","0.89"
"A-A-D-4B","0.35","0.49","0.28","0","0.4","0.39","0.5","0.46","0.54","0.65","0.95","0.96","0.96","0.96","0.96","0.98","0.91","0.96","0.9","0.87","0.87","0.87","0.89","0.88","0.72","0.68","0.79","0.71","0.77","0.78","0.72","0.77","0.71","0.74","0.93","0.97","0.96","0.92","0.91","0.99","0.98","0.98","0.98","0.91","0.9","0.89","0.89","0.89"
"A-A-D-5B","0.33","0.34","0.41","0.4","0","0.56","0.62","0.58","0.67","0.76","0.96","0.97","0.97","0.97","0.97","0.98","0.94","0.97","0.94","0.89","0.89","0.88","0.9","0.89","0.82","0.76","0.86","0.82","0.85","0.85","0.78","0.82","0.75","0.8","0.95","0.98","0.97","0.95","0.93","0.99","0.99","0.98","0.98","0.93","0.92","0.9","0.9","0.89"
"A-A-W-1B","0.51","0.62","0.4","0.39","0.56","0","0.41","0.41","0.42","0.5","0.95","0.96","0.96","0.96","0.95","0.97","0.87","0.96","0.87","0.83","0.82","0.82","0.86","0.85","0.65","0.6","0.73","0.67","0.71","0.66","0.66","0.68","0.63","0.64","0.87","0.96","0.94","0.9","0.84","0.98","0.98","0.96","0.97","0.85","0.86","0.84","0.86","0.85"
"A-A-W-2B","0.56","0.65","0.51","0.5","0.62","0.41","0","0.48","0.47","0.48","0.95","0.97","0.97","0.96","0.96","0.98","0.88","0.97","0.87","0.78","0.8","0.76","0.82","0.8","0.71","0.67","0.78","0.72","0.77","0.68","0.56","0.62","0.55","0.63","0.88","0.96","0.95","0.92","0.82","0.99","0.98","0.97","0.98","0.86","0.82","0.82","0.82","0.78"
"A-A-W-3B","0.57","0.67","0.46","0.46","0.58","0.41","0.48","0","0.48","0.56","0.94","0.96","0.95","0.95","0.95","0.97","0.87","0.95","0.88","0.84","0.83","0.84","0.87","0.86","0.71","0.68","0.79","0.73","0.76","0.72","0.71","0.7","0.7","0.71","0.88","0.96","0.95","0.9","0.85","0.98","0.98","0.97","0.98","0.86","0.86","0.85","0.86","0.85"
"A-A-W-4B","0.64","0.73","0.56","0.54","0.67","0.42","0.47","0.48","0","0.49","0.95","0.97","0.97","0.96","0.96","0.98","0.87","0.96","0.88","0.86","0.83","0.84","0.88","0.87","0.67","0.65","0.75","0.68","0.73","0.66","0.69","0.7","0.69","0.68","0.86","0.96","0.95","0.92","0.85","0.99","0.98","0.97","0.98","0.86","0.87","0.85","0.87","0.87"
"A-A-W-5B","0.73","0.79","0.65","0.65","0.76","0.5","0.48","0.56","0.49","0","0.94","0.95","0.95","0.95","0.94","0.97","0.84","0.95","0.84","0.77","0.8","0.77","0.81","0.81","0.68","0.68","0.71","0.67","0.71","0.59","0.62","0.62","0.62","0.6","0.82","0.95","0.93","0.9","0.78","0.98","0.97","0.96","0.97","0.82","0.81","0.83","0.85","0.82"
"A-D-1B","0.96","0.96","0.95","0.95","0.96","0.95","0.95","0.94","0.95","0.94","0","0.45","0.55","0.46","0.44","0.5","0.61","0.41","0.63","0.64","0.63","0.66","0.64","0.64","0.93","0.93","0.95","0.95","0.93","0.95","0.95","0.95","0.95","0.95","0.91","0.91","0.92","0.9","0.89","0.92","0.89","0.88","0.88","0.91","0.91","0.91","0.93","0.91"
"A-D-2B","0.97","0.97","0.96","0.96","0.97","0.96","0.97","0.96","0.97","0.95","0.45","0","0.5","0.41","0.43","0.44","0.58","0.43","0.59","0.7","0.69","0.71","0.73","0.73","0.93","0.94","0.96","0.94","0.94","0.95","0.95","0.96","0.96","0.95","0.89","0.89","0.9","0.89","0.9","0.91","0.89","0.87","0.87","0.9","0.91","0.93","0.94","0.93"
"A-D-3B","0.97","0.97","0.96","0.96","0.97","0.96","0.97","0.95","0.97","0.95","0.55","0.5","0","0.49","0.5","0.52","0.61","0.52","0.62","0.73","0.71","0.72","0.75","0.75","0.92","0.93","0.94","0.93","0.92","0.94","0.95","0.95","0.96","0.94","0.85","0.85","0.86","0.85","0.87","0.86","0.85","0.83","0.84","0.87","0.88","0.91","0.93","0.92"
"A-D-4B","0.97","0.97","0.96","0.96","0.97","0.96","0.96","0.95","0.96","0.95","0.46","0.41","0.49","0","0.42","0.47","0.57","0.4","0.58","0.69","0.67","0.7","0.7","0.71","0.93","0.93","0.95","0.94","0.93","0.95","0.95","0.96","0.96","0.95","0.89","0.89","0.89","0.88","0.89","0.9","0.88","0.87","0.87","0.89","0.9","0.92","0.93","0.93"
"A-D-5B","0.96","0.97","0.95","0.96","0.97","0.95","0.96","0.95","0.96","0.94","0.44","0.43","0.5","0.42","0","0.46","0.56","0.41","0.58","0.66","0.65","0.67","0.68","0.69","0.92","0.93","0.95","0.93","0.92","0.94","0.94","0.95","0.95","0.94","0.88","0.88","0.89","0.88","0.88","0.9","0.88","0.87","0.87","0.88","0.89","0.91","0.93","0.92"
"A-I-1B","0.98","0.98","0.97","0.98","0.98","0.97","0.98","0.97","0.98","0.97","0.5","0.44","0.52","0.47","0.46","0","0.61","0.46","0.62","0.73","0.72","0.74","0.74","0.75","0.95","0.96","0.96","0.96","0.95","0.96","0.97","0.97","0.97","0.97","0.91","0.9","0.9","0.91","0.92","0.9","0.89","0.89","0.89","0.92","0.92","0.94","0.95","0.94"
"A-I-2B","0.92","0.94","0.91","0.91","0.94","0.87","0.88","0.87","0.87","0.84","0.61","0.58","0.61","0.57","0.56","0.61","0","0.59","0.33","0.6","0.53","0.59","0.65","0.66","0.85","0.86","0.9","0.86","0.86","0.84","0.86","0.86","0.88","0.86","0.79","0.88","0.88","0.83","0.79","0.91","0.89","0.88","0.88","0.8","0.82","0.84","0.86","0.87"
"A-I-3B","0.97","0.97","0.96","0.96","0.97","0.96","0.97","0.95","0.96","0.95","0.41","0.43","0.52","0.4","0.41","0.46","0.59","0","0.61","0.67","0.65","0.68","0.67","0.68","0.93","0.94","0.95","0.95","0.94","0.95","0.95","0.96","0.96","0.95","0.89","0.89","0.9","0.89","0.89","0.89","0.87","0.87","0.85","0.9","0.9","0.92","0.93","0.92"
"A-I-4B","0.93","0.94","0.91","0.9","0.94","0.87","0.87","0.88","0.88","0.84","0.63","0.59","0.62","0.58","0.58","0.62","0.33","0.61","0","0.59","0.54","0.6","0.66","0.67","0.85","0.85","0.9","0.86","0.86","0.84","0.86","0.86","0.87","0.86","0.8","0.89","0.88","0.84","0.8","0.92","0.9","0.89","0.89","0.81","0.82","0.84","0.86","0.88"
