index,D_0__Archaea;D_1__Crenarchaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Atribacteria,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Caldiserica,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Coprothermobacteraeota,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__FCPU426,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Synergistetes,D_0__Bacteria;D_1__Thermotogae,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS1,D_0__Bacteria;D_1__WS2,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;D_1__uncultured,D_0__Bacteria;__,Soil_type,Condition,Treatment,Replicate
A-A-D-1B,0.0,82.0,0.0,0.0,1114.0,9900.0,75.0,63.0,0.0,14998.0,0.0,0.0,803.0,0.0,21.0,1986.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,9377.0,0.0,161.0,0.0,0.0,0.0,0.0,30.0,4862.0,38088.0,0.0,0.0,203.0,0.0,1420.0,0.0,10.0,0.0,0.0,0.0,426.0,Andropogon,Sterilized,Drought,1.0
A-A-D-2B,0.0,136.0,0.0,0.0,1736.0,13926.0,39.0,11.0,0.0,23263.0,0.0,0.0,744.0,38.0,71.0,3153.0,0.0,12.0,0.0,0.0,68.0,0.0,0.0,10929.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,4719.0,61388.0,0.0,57.0,121.0,0.0,2219.0,13.0,3.0,0.0,0.0,17.0,703.0,Andropogon,Sterilized,Drought,2.0
A-A-D-3B,0.0,62.0,0.0,0.0,608.0,8017.0,184.0,30.0,0.0,7174.0,0.0,0.0,1572.0,25.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6420.0,0.0,243.0,0.0,0.0,0.0,0.0,31.0,5613.0,23517.0,0.0,3.0,140.0,15.0,993.0,0.0,10.0,0.0,0.0,0.0,293.0,Andropogon,Sterilized,Drought,3.0
A-A-D-4B,0.0,62.0,0.0,0.0,454.0,7054.0,93.0,11.0,0.0,6229.0,0.0,0.0,1148.0,0.0,41.0,857.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3464.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,5880.0,24782.0,0.0,0.0,149.0,0.0,868.0,0.0,6.0,0.0,0.0,0.0,137.0,Andropogon,Sterilized,Drought,4.0
A-A-D-5B,0.0,46.0,0.0,0.0,1249.0,11559.0,296.0,141.0,0.0,10654.0,0.0,0.0,1915.0,75.0,124.0,1234.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,10493.0,0.0,817.0,0.0,0.0,0.0,0.0,13.0,10660.0,51303.0,0.0,0.0,401.0,14.0,2722.0,2.0,0.0,0.0,0.0,0.0,555.0,Andropogon,Sterilized,Drought,5.0
A-A-W-1B,0.0,27.0,0.0,0.0,439.0,5376.0,191.0,0.0,0.0,3582.0,0.0,0.0,509.0,23.0,18.0,483.0,0.0,19.0,0.0,0.0,68.0,0.0,0.0,2959.0,13.0,221.0,0.0,0.0,0.0,0.0,37.0,4459.0,16282.0,0.0,0.0,66.0,5.0,1378.0,9.0,0.0,0.0,0.0,0.0,185.0,Andropogon,Sterilized,Ambient,1.0
A-A-W-2B,0.0,38.0,0.0,0.0,420.0,3419.0,269.0,47.0,4.0,5326.0,0.0,73.0,1173.0,7.0,50.0,1248.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3099.0,0.0,132.0,0.0,0.0,0.0,0.0,9.0,4985.0,23952.0,0.0,0.0,42.0,0.0,2081.0,0.0,0.0,0.0,0.0,0.0,642.0,Andropogon,Sterilized,Ambient,2.0
A-A-W-3B,0.0,12.0,0.0,0.0,811.0,4644.0,196.0,11.0,12.0,4208.0,0.0,11.0,4230.0,0.0,16.0,691.0,0.0,87.0,0.0,0.0,23.0,0.0,3.0,3705.0,0.0,202.0,0.0,0.0,0.0,0.0,47.0,4664.0,17101.0,2.0,0.0,62.0,0.0,1777.0,95.0,0.0,0.0,0.0,4.0,335.0,Andropogon,Sterilized,Ambient,3.0
A-A-W-4B,0.0,18.0,0.0,0.0,331.0,1735.0,116.0,4.0,3.0,3298.0,0.0,161.0,284.0,0.0,10.0,512.0,0.0,113.0,0.0,0.0,117.0,0.0,0.0,5187.0,0.0,197.0,0.0,0.0,0.0,0.0,69.0,3313.0,11693.0,0.0,0.0,40.0,0.0,1273.0,0.0,4.0,0.0,0.0,0.0,287.0,Andropogon,Sterilized,Ambient,4.0
A-A-W-5B,0.0,3.0,0.0,0.0,130.0,1599.0,121.0,17.0,4.0,2144.0,0.0,0.0,415.0,17.0,13.0,784.0,0.0,5.0,0.0,0.0,41.0,0.0,0.0,1913.0,0.0,128.0,0.0,0.0,0.0,0.0,63.0,2086.0,12156.0,0.0,4.0,16.0,0.0,871.0,0.0,0.0,0.0,0.0,0.0,95.0,Andropogon,Sterilized,Ambient,5.0
